overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Pop,Rock,Funk/Soul,Electronic/Dance,Hip Hop
2.6666666666666665,2.6666666666666665,1,27,0,0,Major,109,29,42,56,-14,0,1,1,1,1,0,0,0,0,132,0,0,1,0,0,1,0,0,1.0986122886681096,3.912023005428146,1,0,0,0,0
6,3.3333333333333335,0,29,0,1,Major,130,66,68,96,-10,0,0,1,0,0,0,0,0,0,137,0,0,1,0,0,1,0,0,1.0986122886681096,4.382026634673881,0,0,0,0,0
3.6666666666666665,2.6666666666666665,1,21,1,0,Major,110,26,51,54,-12,0,0,1,1,0,0,0,0,0,132,0,0,0,0,0,0,0,0,1.3862943611198906,4.3694478524670215,1,0,0,0,0
7.666666666666667,0.6666666666666666,1,28,1,0,Major,118,64,68,97,-10,0,1,1,0,0,0,1,1,0,117,0,1,0,0,0,0,0,0,1.3862943611198906,4.127134385045092,0,1,0,0,0
5,0,0,28,0,0,Major,93,62,53,73,-8,0,0,1,1,0,0,0,0,0,154,0,1,0,0,0,0,0,0,0.6931471805599453,4.23410650459726,1,0,0,0,0
6.666666666666667,2,0,16,0,0,Major,72,63,56,87,-3,1,1,1,0,0,0,0,0,0,113,0,1,0,0,0,0,0,0,1.6094379124341003,3.912023005428146,1,0,0,0,0
6.333333333333333,0.6666666666666666,0,15,0,0,Major,125,44,64,90,-11,1,0,1,0,1,0,0,0,0,148,0,1,1,0,0,1,0,0,1.3862943611198906,4.290459441148391,1,0,0,0,0
4.333333333333333,0.6666666666666666,0,20,0,0,Major,93,87,67,84,-8,0,1,0,1,0,1,0,1,1,134,0,1,1,0,0,1,0,0,1.0986122886681096,4.248495242049359,0,1,0,0,0
6.666666666666667,0.6666666666666666,0,17,0,0,Major,128,49,69,96,-12,1,1,0,1,0,1,0,1,0,140,0,1,0,0,0,0,0,0,1.0986122886681096,3.58351893845611,1,0,0,0,0
7.333333333333333,0.6666666666666666,0,21,0,0,Major,146,36,41,40,-11,0,1,0,0,1,1,0,0,0,182,0,1,1,0,0,1,0,0,1.3862943611198906,4.276666119016055,1,0,0,0,0
5.333333333333333,2.6666666666666665,0,23,0,0,Major,136,47,80,88,-11,0,0,1,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,1.0986122886681096,3.912023005428146,0,1,0,0,0
6.333333333333333,2,1,22,1,1,Major,148,81,53,96,-13,1,0,1,0,0,0,1,0,0,147,0,1,0,0,0,0,0,0,1.0986122886681096,3.9318256327243257,0,1,0,0,0
7.666666666666667,2,0,19,0,0,Major,135,87,68,96,-6,0,1,1,0,0,1,0,1,0,134,1,1,0,0,0,0,1,0,1.3862943611198906,4.248495242049359,1,0,0,0,0
6,2,0,28,0,0,Major,80,25,38,28,-10,1,1,1,0,0,0,0,0,0,168,0,0,1,0,0,1,0,0,1.3862943611198906,4.465908118654584,1,0,0,0,0
3,1.3333333333333333,0,23,0,0,Major,133,80,79,88,-7,0,1,1,1,0,0,0,0,0,123,0,1,0,0,0,0,0,0,1.791759469228055,3.1354942159291497,0,1,0,0,0
4.666666666666667,2,1,31,0,0,Major,131,32,51,57,-12,1,0,1,0,0,0,0,0,0,160,0,1,1,0,0,1,1,0,0.6931471805599453,4.48863636973214,1,0,0,0,0
6.333333333333333,0.6666666666666666,1,23.5,0,0,Major,105,36,23,71,-12,0,1,1,1,1,0,0,0,0,131,0,1,1,0,0,1,0,0,1.0986122886681096,4.406719247264253,0,1,0,0,0
3.3333333333333335,2,0,28,0,0,Major,80,30,25,31,-10,1,0,1,0,1,1,0,0,0,145,0,0,1,0,0,1,0,0,1.6094379124341003,4.3694478524670215,1,0,0,0,0
