overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Electronic/Dance,Funk/Soul,Hip Hop,Pop,Rock
2.6666666666666665,2.6666666666666665,0,29,0,0,Major,144,52,46,31,-8,0,0,0,1,1,0,0,0,0,248,0,0,0,0,0,0,0,0,0.6931471805599453,1.3862943611198906,0,0,0,1,0
9.666666666666666,0.6666666666666666,1,32.5,1,1,Minor,93,70,63,62,-6,0,0,0,1,0,0,0,0,0,197,1,0,0,1,1,1,0,1,2.3978952727983707,1.0986122886681098,0,0,1,0,0
8.666666666666666,1.3333333333333333,0,30,0,0,Minor,120,63,62,70,-8,0,0,1,1,0,1,0,0,0,180,0,1,0,0,0,0,1,0,1.0986122886681098,1.3862943611198906,0,1,0,0,0
3,1.3333333333333333,0,29,0,1,Multiple Keys,99,61,68,82,-8,0,0,1,1,1,0,0,0,0,186,0,1,1,0,0,1,0,0,1.3862943611198906,4.3694478524670215,0,0,0,1,0
5.666666666666667,0.6666666666666666,0,29,0,0,Major,137,62,35,60,-7,0,1,1,1,1,1,0,0,0,207,0,1,0,0,0,0,1,0,0.6931471805599453,3.828641396489095,0,0,0,1,0
7.666666666666667,2,0,17,1,1,Minor,135,43,70,56,-11,0,1,0,0,0,0,0,1,0,194,0,0,0,0,0,0,0,1,0.6931471805599453,3.5263605246161616,0,0,0,1,0
9.666666666666666,0.6666666666666666,0,24,1,0,Multiple Keys,79,53,59,73,-8,0,0,1,0,0,0,1,0,0,137,0,1,0,0,0,0,0,0,1.6094379124341003,2.772588722239781,0,0,0,0,1
9,1.3333333333333333,0,30,1,0,Minor,121,70,86,97,-15,0,1,1,0,0,1,0,0,0,295,0,0,0,0,0,0,0,0,1.791759469228055,0,0,1,0,0,0
9,0,0,22,1,0,Major,172,76,43,95,-4,0,0,1,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,1.6094379124341003,2.5649493574615367,0,0,0,0,1
7.333333333333333,2.6666666666666665,0,31,1,1,Major,120,53,51,79,-12,0,0,1,0,0,0,0,0,0,218,0,1,0,0,0,0,0,0,0.6931471805599453,0,0,0,0,0,1
5.333333333333333,2,0,20,0,0,Multiple Keys,102,47,43,78,-12,0,0,0,1,0,0,0,0,0,173,0,1,0,0,0,0,0,0,1.3862943611198906,3.7612001156935624,0,0,0,1,0
6.333333333333333,1.3333333333333333,0,25,0,0,Major,111,82,66,68,-7,0,0,0,1,0,0,0,0,0,263,0,1,0,0,0,0,0,0,0.6931471805599453,2.8903717578961645,0,0,0,0,1
7,3.3333333333333335,0,19,0,0,Major,109,84,57,95,-4,0,1,1,0,0,0,0,0,0,127,0,1,0,0,1,1,0,0,0.6931471805599453,2.302585092994046,0,0,0,0,1
6.666666666666667,0.6666666666666666,0,29,1,1,Major,172,81,74,50,-6,0,0,0,0,0,1,0,0,0,266,0,1,0,0,0,0,0,0,0.6931471805599453,1.791759469228055,1,0,0,0,0
6.666666666666667,0.6666666666666666,0,29,1,1,Major,172,81,74,50,-6,0,0,0,0,0,1,0,0,0,266,0,1,0,0,0,0,0,0,0.6931471805599453,1.791759469228055,0,1,0,0,0
4.333333333333333,3.3333333333333335,0,25,1,0,Major,168,70,56,82,-9,0,0,1,1,0,0,1,0,0,277,0,1,0,0,0,0,0,0,1.0986122886681098,3.713572066704308,0,1,0,0,0
5,1.3333333333333333,0,36,1,1,Major,80,41,55,32,-8,0,0,0,1,1,0,1,0,0,320,0,0,0,0,0,0,0,0,2.0794415416798357,3.5553480614894135,0,0,0,1,0
5,2.6666666666666665,0,42,0,0,Minor,137,18,36,20,-16,0,0,0,1,1,0,0,0,0,231,0,0,0,0,0,0,0,0,1.9459101490553132,4.465908118654584,0,0,0,1,0
6.333333333333333,0.6666666666666666,0,29,1,1,Multiple Keys,114,89,79,39,-4,0,1,0,0,0,1,1,0,0,247,0,0,0,0,0,0,0,0,1.0986122886681098,0,1,0,0,0,0
6.333333333333333,2,1,24.5,1,0,Major,86,51,66,68,-8,0,1,0,1,0,0,1,0,0,223,0,1,0,1,0,1,0,0,1.9459101490553132,3.295836866004329,0,1,0,0,0
5.333333333333333,0.6666666666666666,0,19,0,0,Major,77,61,45,96,-7,0,0,1,1,0,1,0,1,1,147,0,1,1,0,0,1,0,0,1.3862943611198906,0.6931471805599453,0,0,0,0,1
10,0,0,22.666666666666668,1,1,Multiple Keys,133,47,40,38,-8,0,1,0,1,1,0,1,0,0,219,0,1,0,0,0,0,0,0,0.6931471805599453,3.5263605246161616,0,0,0,0,1
4,2,0,37,0,1,Multiple Keys,120,40,65,26,-9,0,0,0,1,1,1,0,1,0,346,0,1,0,0,0,0,0,0,0.6931471805599453,4.174387269895637,0,1,0,0,0
10,0,0,28,1,1,Major,80,21,15,26,-14,0,0,0,1,1,0,0,0,0,293,0,0,0,0,0,0,0,0,1.9459101490553132,4.418840607796598,0,0,0,1,0
8,3.3333333333333335,1,34,1,1,Major,120,46,85,55,-6,0,1,1,0,0,0,0,0,0,225,0,1,0,0,1,1,0,0,1.0986122886681098,2.5649493574615367,0,0,1,0,0
8.666666666666666,2,1,27,1,0,Multiple Keys,155,73,83,45,-4,0,0,0,1,0,0,0,0,0,312,0,0,0,1,1,1,1,1,0.6931471805599453,0.6931471805599453,0,0,1,0,0
6.333333333333333,3.3333333333333335,0,15,0,0,Major,108,21,49,46,-15,1,0,0,1,1,0,0,0,0,185,0,0,1,0,0,1,0,0,0.6931471805599453,4.0943445622221,0,0,0,1,0
7.666666666666667,2.6666666666666665,0,26,1,1,Major,98,92,52,49,-8,0,0,1,1,0,0,0,0,0,227,0,0,0,0,0,0,0,1,1.0986122886681098,0.6931471805599453,0,0,0,0,1
4,0,0,17,1,0,Major,106,61,62,80,-10,0,0,1,0,1,1,0,0,0,151,0,1,0,0,0,0,0,0,1.6094379124341003,3.58351893845611,0,0,0,1,0
3,1.3333333333333333,1,28,1,0,Major,130,84,76,84,-5,1,1,1,1,0,1,1,1,0,146,0,1,0,0,0,0,0,0,1.791759469228055,3.6888794541139363,0,0,0,0,1
4,2,0,32,0,0,Major,138,39,66,11,-9,0,1,0,0,1,0,1,0,0,204,0,0,0,0,0,0,0,0,0.6931471805599453,3.713572066704308,0,1,0,0,0
7,2,1,26.5,0,0,Major,107,61,76,82,-11,0,1,0,1,0,1,0,0,0,169,0,1,0,0,0,0,0,0,0.6931471805599453,3.367295829986474,0,0,0,0,1
2,2,1,32.5,1,0,Major,75,59,60,69,-9,0,0,1,1,1,1,0,0,0,156,0,1,0,0,0,0,0,0,1.3862943611198906,4.02535169073515,0,0,0,1,0
5.333333333333333,2.6666666666666665,0,25,0,0,Minor,104,50,70,85,-9,0,0,1,1,1,0,0,0,0,235,0,1,1,0,0,1,0,0,1.0986122886681098,2.3978952727983707,0,1,0,0,0
9.333333333333334,1.3333333333333333,0,22,1,0,Major,76,92,38,91,-3,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,1.0986122886681098,3.295836866004329,0,0,0,0,1
3.3333333333333335,0.6666666666666666,0,32,1,0,Multiple Keys,111,60,61,47,-11,0,0,0,1,1,1,0,0,0,251,0,1,0,0,0,0,0,0,1.0986122886681098,2.772588722239781,0,0,0,0,1
5.333333333333333,1.3333333333333333,0,34,0,0,Major,89,42,37,93,-11,0,1,1,1,1,1,1,0,0,207,0,1,1,0,0,1,0,0,0.6931471805599453,3.4339872044851463,0,1,0,0,0
4,1.3333333333333333,0,27,1,0,Major,121,38,76,99,-15,0,0,0,1,1,0,1,1,0,224,0,1,0,0,0,0,0,0,0.6931471805599453,3.367295829986474,0,0,0,1,0
